probe,model,n_valid,n_errors
ALGO_P1,Claude,0,0
ALGO_P1,Gemini,0,0
ALGO_P1,GPT-4o,0,0
ALGO_P1,Llama,0,0
ALGO_P1,o4-mini,0,0
GSM_P1,Claude,0,0
GSM_P1,Gemini,0,0
GSM_P1,GPT-4o,0,0
GSM_P1,Llama,0,0
GSM_P1,o4-mini,0,0
BW_P1,Gemini,455,0
BW_P1,o4-mini,455,0
BW_P1,Claude,455,0
BW_P1,GPT-4o,455,0
BW_P1,Llama,455,2
GSM_P2,Claude,44,0
GSM_P2,Gemini,44,0
GSM_P2,GPT-4o,44,0
GSM_P2,Llama,44,0
GSM_P2,o4-mini,44,0
ALGO_P2A_normal,Claude,450,0
ALGO_P2A_normal,Gemini,450,0
ALGO_P2A_normal,GPT-4o,450,0
ALGO_P2A_normal,Llama,450,0
ALGO_P2A_normal,o4-mini,450,0
ALGO_P2A_elicited,Claude,181,0
ALGO_P2A_elicited,Gemini,181,0
ALGO_P2A_elicited,GPT-4o,450,0
ALGO_P2A_elicited,Llama,181,0
ALGO_P2A_elicited,o4-mini,450,0
ALGO_P2B_plausible,Claude,181,0
ALGO_P2B_plausible,Gemini,181,0
ALGO_P2B_plausible,GPT-4o,181,0
ALGO_P2B_plausible,Llama,181,0
ALGO_P2B_plausible,o4-mini,181,0
ALGO_P2B_implausible,Claude,181,0
ALGO_P2B_implausible,Gemini,181,0
ALGO_P2B_implausible,GPT-4o,181,0
ALGO_P2B_implausible,Llama,181,0
ALGO_P2B_implausible,o4-mini,181,0
