probe,model,canonical,W3,W3_retention
ALGO,Claude,0.36363636363636365,0.09090909090909091,0.25
ALGO,GPT-4o,0.42727272727272725,0.17272727272727273,0.4042553191489362
ALGO,Gemini,0.4636363636363636,0.2545454545454545,0.5490196078431372
ALGO,Llama,0.06363636363636363,0.01818181818181818,0.28571428571428575
ALGO,o4-mini,1.0,0.6090909090909091,0.6090909090909091
BW,Claude,0.15384615384615385,0.13846153846153847,0.9
BW,GPT-4o,0.06153846153846154,0.16923076923076924,2.75
BW,Gemini,0.38461538461538464,0.1076923076923077,0.28
BW,Llama,0.015384615384615385,0.1076923076923077,7.0
BW,o4-mini,0.7692307692307693,0.18461538461538463,0.24
GSM,Claude,0.8409090909090909,0.75,0.8918918918918919
GSM,GPT-4o,0.85,0.3,0.35294117647058826
GSM,Gemini,0.9090909090909091,0.5227272727272727,0.575
GSM,Llama,0.8,0.15,0.18749999999999997
GSM,o4-mini,0.8409090909090909,0.8409090909090909,1.0
