probe,model,variant,n_attempted,n_valid,accuracy
ALGO,Claude,canonical,110,110,0.36363636363636365
ALGO,Claude,W1,110,110,0.4090909090909091
ALGO,Claude,W2,110,110,0.45454545454545453
ALGO,Claude,W3,110,110,0.09090909090909091
ALGO,Claude,W4,110,110,0.6181818181818182
ALGO,Claude,W5,50,50,0.0
ALGO,Claude,W6,90,90,0.1
ALGO,Gemini,canonical,110,110,0.4636363636363636
ALGO,Gemini,W1,110,110,0.39090909090909093
ALGO,Gemini,W2,110,110,0.3
ALGO,Gemini,W3,110,110,0.2545454545454545
ALGO,Gemini,W4,110,110,0.43636363636363634
ALGO,Gemini,W5,50,50,0.02
ALGO,Gemini,W6,90,90,0.14444444444444443
ALGO,GPT-4o,canonical,110,110,0.42727272727272725
ALGO,GPT-4o,W1,110,110,0.43636363636363634
ALGO,GPT-4o,W2,110,110,0.10909090909090909
ALGO,GPT-4o,W3,110,110,0.17272727272727273
ALGO,GPT-4o,W4,110,110,0.44545454545454544
ALGO,GPT-4o,W5,50,50,0.0
ALGO,GPT-4o,W6,90,90,0.2
ALGO,Llama,canonical,110,110,0.06363636363636363
ALGO,Llama,W1,110,110,0.08181818181818182
ALGO,Llama,W2,110,110,0.05454545454545454
ALGO,Llama,W3,110,110,0.01818181818181818
ALGO,Llama,W4,110,110,0.07272727272727272
ALGO,Llama,W5,50,50,0.0
ALGO,Llama,W6,90,90,0.05555555555555555
ALGO,o4-mini,canonical,110,110,1.0
ALGO,o4-mini,W1,110,110,0.9636363636363636
ALGO,o4-mini,W2,110,110,0.2545454545454545
ALGO,o4-mini,W3,110,110,0.6090909090909091
ALGO,o4-mini,W4,110,110,0.7363636363636363
ALGO,o4-mini,W5,50,50,0.04
ALGO,o4-mini,W6,90,90,0.4222222222222222
GSM,Claude,canonical,44,44,0.8409090909090909
GSM,Claude,W1,44,44,0.8409090909090909
GSM,Claude,W2,44,44,0.7727272727272727
GSM,Claude,W3,44,44,0.75
GSM,Claude,W4,44,44,0.6363636363636364
GSM,Claude,W5,44,44,0.8181818181818182
GSM,Claude,W6,24,24,0.75
GSM,Gemini,canonical,44,44,0.9090909090909091
GSM,Gemini,W1,44,44,0.8181818181818182
GSM,Gemini,W2,44,44,0.6363636363636364
GSM,Gemini,W3,44,44,0.5227272727272727
GSM,Gemini,W4,44,44,0.4772727272727273
GSM,Gemini,W5,44,44,0.6136363636363636
GSM,Gemini,W6,24,24,0.9583333333333334
GSM,GPT-4o,canonical,20,20,0.85
GSM,GPT-4o,W1,20,20,0.75
GSM,GPT-4o,W2,20,20,0.3
GSM,GPT-4o,W3,20,20,0.3
GSM,GPT-4o,W4,20,20,0.2
GSM,GPT-4o,W5,20,20,0.3
GSM,GPT-4o,W6,0,0,
GSM,Llama,canonical,20,20,0.8
GSM,Llama,W1,20,20,0.85
GSM,Llama,W2,20,20,0.25
GSM,Llama,W3,20,20,0.15
GSM,Llama,W4,20,20,0.3
GSM,Llama,W5,20,20,0.05
GSM,Llama,W6,0,0,
GSM,o4-mini,canonical,44,44,0.8409090909090909
GSM,o4-mini,W1,44,44,0.8636363636363636
GSM,o4-mini,W2,44,44,0.8181818181818182
GSM,o4-mini,W3,44,44,0.8409090909090909
GSM,o4-mini,W4,44,44,0.6818181818181818
GSM,o4-mini,W5,44,44,0.8863636363636364
GSM,o4-mini,W6,24,24,0.8333333333333334
BW,Gemini,canonical,65,65,0.38461538461538464
BW,Gemini,W1,65,65,0.13846153846153847
BW,Gemini,W2,65,65,0.1076923076923077
BW,Gemini,W3,65,65,0.1076923076923077
BW,Gemini,W4,65,65,0.03076923076923077
BW,Gemini,W5,65,65,0.5692307692307692
BW,Gemini,W6,65,65,0.3384615384615385
BW,o4-mini,canonical,65,65,0.7692307692307693
BW,o4-mini,W1,65,65,0.7538461538461538
BW,o4-mini,W2,65,65,0.7384615384615385
BW,o4-mini,W3,65,65,0.18461538461538463
BW,o4-mini,W4,65,65,0.4153846153846154
BW,o4-mini,W5,65,65,0.7692307692307693
BW,o4-mini,W6,65,65,0.7692307692307693
BW,Claude,canonical,65,65,0.15384615384615385
BW,Claude,W1,65,65,0.06153846153846154
BW,Claude,W2,65,65,0.23076923076923078
BW,Claude,W3,65,65,0.13846153846153847
BW,Claude,W4,65,65,0.015384615384615385
BW,Claude,W5,65,65,0.5230769230769231
BW,Claude,W6,65,65,0.5076923076923077
BW,GPT-4o,canonical,65,65,0.06153846153846154
BW,GPT-4o,W1,65,65,0.09230769230769231
BW,GPT-4o,W2,65,65,0.09230769230769231
BW,GPT-4o,W3,65,65,0.16923076923076924
BW,GPT-4o,W4,65,65,0.07692307692307693
BW,GPT-4o,W5,65,65,0.24615384615384617
BW,GPT-4o,W6,65,65,0.2153846153846154
BW,Llama,canonical,65,65,0.015384615384615385
BW,Llama,W1,65,65,0.03076923076923077
BW,Llama,W2,65,65,0.015384615384615385
BW,Llama,W3,65,65,0.1076923076923077
BW,Llama,W4,65,65,0.0
BW,Llama,W5,65,65,0.0
BW,Llama,W6,65,65,0.03076923076923077
